43.229.154.72:443  | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-03 23:55:28
47.242.159.66:443  | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 00:37:27
47.242.201.252:443 | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 00:37:26
47.243.204.87:443  | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 00:40:01
47.57.183.180:443  | 64.252.108.84  | HK | 54ms | CloudFront | 2023-09-04 00:23:34
8.210.193.199:443  | 64.252.104.184 | HK | 54ms | CloudFront | 2023-09-04 00:04:24
128.1.31.6:443     | 64.252.104.184 | US | 55ms | CloudFront | 2023-09-03 23:46:38
128.14.67.168:443  | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-03 23:47:14
129.227.153.174:443 | 64.252.68.33   | HK | 55ms | CloudFront | 2023-09-03 23:48:11
129.227.155.104:443 | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-03 23:48:20
45.88.193.93:443   | 64.252.110.108 | JP | 55ms | CloudFront | 2023-09-03 23:50:14
47.243.165.146:443 | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-04 00:39:50
47.57.233.3:443    | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-04 00:23:01
47.57.9.29:443     | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-04 00:23:07
8.217.86.239:443   | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-04 00:10:26
103.103.245.155:443 | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-03 23:55:43
103.117.103.141:443 | 64.252.110.108 | JP | 56ms | CloudFront | 2023-09-03 23:50:14
103.20.222.63:443  | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-03 23:55:47
128.1.31.3:443     | 64.252.110.108 | US | 56ms | CloudFront | 2023-09-03 23:46:39
129.227.153.174:443 | 64.252.68.33   | HK | 56ms | CloudFront | 2023-09-03 23:48:21
